"","zipcode","Neighborhood"
"1","10453","Central Bronx"
"2","10457","Central Bronx"
"3","10460","Central Bronx"
"4","10458","Bronx Park and Fordham"
"5","10467","Bronx Park and Fordham"
"6","10468","Bronx Park and Fordham"
"7","10451","High Bridge and Morrisania"
"8","10452","High Bridge and Morrisania"
"9","10456","High Bridge and Morrisania"
"10","10454","Hunts Point and Mott Haven"
"11","10455","Hunts Point and Mott Haven"
"12","10459","Hunts Point and Mott Haven"
"13","10474","Hunts Point and Mott Haven"
"14","10463","Kingsbridge and Riverdale"
"15","10471","Kingsbridge and Riverdale"
"16","10466","Northeast Bronx"
"17","10469","Northeast Bronx"
"18","10470","Northeast Bronx"
"19","10475","Northeast Bronx"
"20","10461","Southeast Bronx"
"21","10462","Southeast Bronx"
"22","10464","Southeast Bronx"
"23","10465","Southeast Bronx"
"24","10472","Southeast Bronx"
"25","10473","Southeast Bronx"
"26","11212","Central Brooklyn"
"27","11213","Central Brooklyn"
"28","11216","Central Brooklyn"
"29","11233","Central Brooklyn"
"30","11238","Central Brooklyn"
"31","11209","Southwest Brooklyn"
"32","11214","Southwest Brooklyn"
"33","11228","Southwest Brooklyn"
"34","11204","Borough Park"
"35","11218","Borough Park"
"36","11219","Borough Park"
"37","11230","Borough Park"
"38","11234","Canarsie and Flatlands"
"39","11236","Canarsie and Flatlands"
"40","11239","Canarsie and Flatlands"
"41","11223","Southern Brooklyn"
"42","11224","Southern Brooklyn"
"43","11229","Southern Brooklyn"
"44","11235","Southern Brooklyn"
"45","11201","Northwest Brooklyn"
"46","11205","Northwest Brooklyn"
"47","11215","Northwest Brooklyn"
"48","11217","Northwest Brooklyn"
"49","11231","Northwest Brooklyn"
"50","11203","Flatbush"
"51","11210","Flatbush"
"52","11225","Flatbush"
"53","11226","Flatbush"
"54","11207","East New York and New Lots"
"55","11208","East New York and New Lots"
"56","11211","Greenpoint"
"57","11222","Greenpoint"
"58","11220","Sunset Park"
"59","11232","Sunset Park"
"60","11206","Bushwick and Williamsburg"
"61","11221","Bushwick and Williamsburg"
"62","11237","Bushwick and Williamsburg"
"63","10026","Central Harlem"
"64","10027","Central Harlem"
"65","10030","Central Harlem"
"66","10037","Central Harlem"
"67","10039","Central Harlem"
"68","10001","Chelsea and Clinton"
"69","10011","Chelsea and Clinton"
"70","10018","Chelsea and Clinton"
"71","10019","Chelsea and Clinton"
"72","10020","Chelsea and Clinton"
"73","10036","Chelsea and Clinton"
"74","10029","East Harlem"
"75","10035","East Harlem"
"76","10010","Gramercy Park and Murray Hill"
"77","10016","Gramercy Park and Murray Hill"
"78","10017","Gramercy Park and Murray Hill"
"79","10022","Gramercy Park and Murray Hill"
"80","10012","Greenwich Village and Soho"
"81","10013","Greenwich Village and Soho"
"82","10014","Greenwich Village and Soho"
"83","10004","Lower Manhattan"
"84","10005","Lower Manhattan"
"85","10006","Lower Manhattan"
"86","10007","Lower Manhattan"
"87","10038","Lower Manhattan"
"88","10280","Lower Manhattan"
"89","10002","Lower East Side"
"90","10003","Lower East Side"
"91","10009","Lower East Side"
"92","10021","Upper East Side"
"93","10028","Upper East Side"
"94","10044","Upper East Side"
"95","10065","Upper East Side"
"96","10075","Upper East Side"
"97","10128","Upper East Side"
"98","10023","Upper West Side"
"99","10024","Upper West Side"
"100","10025","Upper West Side"
"101","10031","Inwood and Washington Heights"
"102","10032","Inwood and Washington Heights"
"103","10033","Inwood and Washington Heights"
"104","10034","Inwood and Washington Heights"
"105","10040","Inwood and Washington Heights"
"106","11361","Northeast Queens"
"107","11362","Northeast Queens"
"108","11363","Northeast Queens"
"109","11364","Northeast Queens"
"110","11354","North Queens"
"111","11355","North Queens"
"112","11356","North Queens"
"113","11357","North Queens"
"114","11358","North Queens"
"115","11359","North Queens"
"116","11360","North Queens"
"117","11365","Central Queens"
"118","11366","Central Queens"
"119","11367","Central Queens"
"120","11412","Jamaica"
"121","11423","Jamaica"
"122","11432","Jamaica"
"123","11433","Jamaica"
"124","11434","Jamaica"
"125","11435","Jamaica"
"126","11436","Jamaica"
"127","11101","Northwest Queens"
"128","11102","Northwest Queens"
"129","11103","Northwest Queens"
"130","11104","Northwest Queens"
"131","11105","Northwest Queens"
"132","11106","Northwest Queens"
"133","11374","West Central Queens"
"134","11375","West Central Queens"
"135","11379","West Central Queens"
"136","11385","West Central Queens"
"137","11691","Rockaways"
"138","11692","Rockaways"
"139","11693","Rockaways"
"140","11694","Rockaways"
"141","11695","Rockaways"
"142","11697","Rockaways"
"143","11004","Southeast Queens"
"144","11005","Southeast Queens"
"145","11411","Southeast Queens"
"146","11413","Southeast Queens"
"147","11422","Southeast Queens"
"148","11426","Southeast Queens"
"149","11427","Southeast Queens"
"150","11428","Southeast Queens"
"151","11429","Southeast Queens"
"152","11414","Southwest Queens"
"153","11415","Southwest Queens"
"154","11416","Southwest Queens"
"155","11417","Southwest Queens"
"156","11418","Southwest Queens"
"157","11419","Southwest Queens"
"158","11420","Southwest Queens"
"159","11421","Southwest Queens"
"160","11368","West Queens"
"161","11369","West Queens"
"162","11370","West Queens"
"163","11372","West Queens"
"164","11373","West Queens"
"165","11377","West Queens"
"166","11378","West Queens"
"167","10302","Port Richmond"
"168","10303","Port Richmond"
"169","10310","Port Richmond"
"170","10306","South Shore"
"171","10307","South Shore"
"172","10308","South Shore"
"173","10309","South Shore"
"174","10312","South Shore"
"175","10301","Stapleton and St. George"
"176","10304","Stapleton and St. George"
"177","10305","Stapleton and St. George"
"178","10314","Mid-Island"
